timestamp,ppg_raw,diff,classification
1773387427.728113,262140,0.0,VALID
1773387427.758502,262140,0.0,VALID
1773387427.759321,262140,0.0,VALID
1773387427.78769,262140,0.0,VALID
1773387427.818462,262140,0.0,VALID
1773387427.848142,262140,0.0,VALID
1773387427.8492758,262140,0.0,VALID
1773387427.878546,262140,0.0,VALID
1773387427.908159,262140,0.0,VALID
1773387427.9101398,262140,0.0,VALID
1773387427.938846,262140,0.0,VALID
1773387427.968043,262140,0.0,VALID
1773387428.0287292,261650,490.0,VALID
1773387428.029758,254583,7067.0,VALID
1773387428.029979,245110,9473.0,VALID
1773387428.058178,238874,6236.0,VALID
1773387428.088607,229117,9757.0,VALID
1773387428.090529,222754,6363.0,VALID
1773387428.118467,212709,10045.0,VALID
1773387428.148615,186073,26636.0,POSSIBLE_PHYS_CHANGE
1773387428.149868,108994,77079.0,POSSIBLE_PHYS_CHANGE
1773387428.1779242,51660,57334.0,POSSIBLE_PHYS_CHANGE
1773387428.208305,27113,24547.0,POSSIBLE_PHYS_CHANGE
1773387428.238917,17152,9961.0,VALID
1773387428.240319,14052,3100.0,VALID
1773387428.268584,13506,546.0,VALID
1773387428.298198,13410,96.0,VALID
1773387428.299312,13565,155.0,VALID
1773387428.328658,13924,359.0,VALID
1773387428.357846,14199,275.0,VALID
1773387428.38895,14041,158.0,VALID
1773387428.390272,13568,473.0,VALID
1773387428.417912,12990,578.0,VALID
1773387428.448591,13303,313.0,VALID
1773387428.4493492,13628,325.0,VALID
1773387428.477998,13953,325.0,VALID
1773387428.5085351,14132,179.0,VALID
1773387428.538124,14344,212.0,VALID
1773387428.539389,14531,187.0,VALID
1773387428.5685408,15565,1034.0,VALID
1773387428.598158,16942,1377.0,VALID
1773387428.6000571,18542,1600.0,VALID
1773387428.628816,20060,1518.0,VALID
1773387428.65785,22998,2938.0,VALID
1773387428.688588,28655,5657.0,VALID
1773387428.689383,36124,7469.0,VALID
1773387428.718059,45573,9449.0,VALID
1773387428.748533,70938,25365.0,POSSIBLE_PHYS_CHANGE
1773387428.778212,117580,46642.0,POSSIBLE_PHYS_CHANGE
1773387428.780247,200804,83224.0,POSSIBLE_PHYS_CHANGE
1773387428.8087769,262140,61336.0,POSSIBLE_PHYS_CHANGE
1773387428.8390589,262140,0.0,VALID
1773387428.841053,262140,0.0,VALID
1773387428.871819,262140,0.0,VALID
1773387428.901474,262140,0.0,VALID
1773387428.931721,262140,0.0,VALID
1773387428.932011,262140,0.0,VALID
1773387428.960172,262140,0.0,VALID
1773387428.988954,262140,0.0,VALID
1773387428.99037,262140,0.0,VALID
1773387429.0182989,262140,0.0,VALID
1773387429.078775,262140,0.0,VALID
1773387429.079315,262140,0.0,VALID
1773387429.079535,262140,0.0,VALID
1773387429.107918,262140,0.0,VALID
1773387429.138773,262140,0.0,VALID
1773387429.139372,262140,0.0,VALID
1773387429.1679611,262140,0.0,VALID
1773387429.1986072,262140,0.0,VALID
1773387429.228468,262140,0.0,VALID
1773387429.230495,262140,0.0,VALID
1773387429.2587168,262140,0.0,VALID
1773387429.289435,262140,0.0,VALID
1773387429.289688,262140,0.0,VALID
1773387429.319996,257984,4156.0,VALID
1773387429.348146,247953,10031.0,VALID
1773387429.378565,242103,5850.0,VALID
1773387429.379292,231947,10156.0,VALID
1773387429.408001,225347,6600.0,VALID
1773387429.4384818,215514,9833.0,VALID
1773387429.468477,208765,6749.0,VALID
1773387429.470217,197436,11329.0,VALID
1773387429.498534,180629,16807.0,VALID
1773387429.528556,70912,109717.0,POSSIBLE_PHYS_CHANGE
